ID,Custom ID,Name,Date of Birth,Hometown,Current Position
1317,PER00164,"Ông Tạ Quang Bửu (Từ 10-1965, Sau Khi Thành Lập Bộ)",,,Bộ trưởng  Bộ Đại học và Trung học chuyên nghiệp
1318,PER00165,"Ông Ngô Minh Loan (Từ 12-1969, Sau Khi Thành Lập Bộ)",,,Bộ trưởng  Bộ Lương thực và Thực phẩm
1319,PER00166,"Ông Trần Danh Tuyên (Từ 12-1969, Sau Khi Thành Lập Bộ)",,,Bộ trưởng  Bộ Vật tư
1320,PER00167,"Ông Phạm Hùng (Phó Thủ Tướng Kiêm Chức Từ 4-1965, Sau Khi Thành Lập Ủy Ban, Đến 10-1966)",,,Chủ nhiệm  Ủy ban Vật giá Nhà nước
1321,PER00168,Ông Nguyễn Thanh Bình (Từ 10-1966 Đến 11-1967),,,Chủ nhiệm  Ủy ban Vật giá Nhà nước
1322,PER00169,Ông Đỗ Mười (Từ 11-1967),,,Chủ nhiệm  Ủy ban Vật giá Nhà nước
1323,PER00170,Ông Nghiêm Xuân Yêm (Đến 4-1971),,,Bộ trưởng Phó Chủ nhiệm thường trực  Ủy ban Nông nghiệp Trung ương
1324,PER00171,Ông Nguyễn Văn Lộc (Từ 4-1971),,,Bộ trưởng Phó Chủ nhiệm thường trực  Ủy ban Nông nghiệp Trung ương
1325,PER00172,"Ông Hoàng Anh (Phó Thủ Tướng Kiêm Chức, Sau Khi Thành Lập Ủy Ban, Từ 4-1971)",,,Chủ nhiệm  Ủy ban Nông nghiệp Trung ương
1326,PER00173,Ông Huỳnh Tấn Phát,,,Phó Thủ tướng
1327,PER00174,Ông Phùng Văn Cung,,,Phó Chủ tịch
1328,PER00175,Ông Nguyễn Văn Kiết,,,Phó Chủ tịch
1329,PER00176,Cụ Nguyễn Đóa,,,Phó Chủ tịch
1330,PER00177,Ông Trần Bửu Kiếm,,,Bộ trưởng  Phủ Chủ tịch Chính phủ
1331,PER00178,Ông Trần Nam Trung,,,Chủ nhiệm  Ủy ban Thanh tra Chính phủ
1332,PER00179,Bà Nguyễn Thị Bình,,,Bộ trưởng  Bộ Giáo dục
